indent,category,series_id,basis
5,Sports equipment(4),CUSR0000SERC02,SA
4,Photographic equipment and supplies(4),CUSR0000SERD01,SA
5,Photographic equipment(4)(5)(6),CUSR0000SS61023,SA
4,Recreational reading materials(4),CUSR0000SERG,SA
5,Newspapers and magazines(4)(5),CUUR0000SERG01,NSA
5,Recreational books(4)(5),CUUR0000SERG02,NSA
4,Other recreational goods(5),CUSR0000SERE,SA
5,Toys,CUSR0000SERE01,SA
6,"Toys, games, hobbies and playground equipment(5)(6)",CUSR0000SS61011,SA
5,"Sewing machines, fabric and supplies(4)(5)",CUSR0000SERE02,SA
5,Music instruments and accessories(4)(5),CUSR0000SERE03,SA
3,Education and communication commodities(11),CUSR0000SAEC,SA
4,Educational books and supplies(4),CUSR0000SEEA,SA
5,College textbooks(4)(6)(15),CUUR0000SSEA011,NSA
4,Information technology commodities(11),CUSR0000SEEEC,SA
5,"Computers, peripherals, and smart home assistants(4)(7)",CUSR0000SEEE01,SA
5,Computer software and accessories(4)(5),CUUR0000SEEE02,NSA
5,"Telephone hardware, calculators, and other consumer information items(14)",CUSR0000SEEE04,SA
6,Smartphones(4)(6)(16),CUUR0000SSEE041,NSA
3,Alcoholic beverages(4),CUSR0000SAF116,SA
4,Alcoholic beverages at home,CUSR0000SEFW,SA
5,"Beer, ale, and other malt beverages at home(4)",CUSR0000SEFW01,SA
5,Distilled spirits at home(4),CUSR0000SEFW02,SA
6,Whiskey at home(4)(6),CUSR0000SS20021,SA
6,"Distilled spirits, excluding whiskey, at home(4)(6)",CUSR0000SS20022,SA
5,Wine at home,CUSR0000SEFW03,SA
4,Alcoholic beverages away from home(4),CUSR0000SEFX,SA
5,"Beer, ale, and other malt beverages away from home(4)(5)(6)",CUUR0000SS20051,NSA
5,Wine away from home(4)(5)(6),CUUR0000SS20052,NSA
5,Distilled spirits away from home(4)(5)(6),CUSR0000SS20053,SA
3,Other goods(11),CUSR0000SAGC,SA
4,Tobacco and smoking products(4)(14),CUSR0000SEGA,SA
5,Cigarettes(4)(5),CUSR0000SEGA01,SA
5,Tobacco products other than cigarettes(4)(5),CUUR0000SEGA02,NSA
4,Personal care products,CUSR0000SEGB,SA
5,"Hair, dental, shaving, and miscellaneous personal care products(4)(5)",CUUR0000SEGB01,NSA
5,"Cosmetics, perfume, bath, nail preparations and implements(4)",CUUR0000SEGB02,NSA
4,Miscellaneous personal goods(5),CUSR0000SEGE,SA
5,"Stationery, stationery supplies, gift wrap(6)",CUSR0000SS33032,SA
2,Services less energy services,CUSR0000SASLE,SA
3,Shelter,CUSR0000SAH1,SA
4,Rent of shelter(17),CUSR0000SAS2RS,SA
5,Rent of primary residence,CUSR0000SEHA,SA
5,Lodging away from home(5),CUSR0000SEHB,SA
6,Lodging while at school(17),CUSR0000SEHB01,SA
6,Other lodging away from home including hotels and motels,CUSR0000SEHB02,SA
5,Owners' equivalent rent of residences(17),CUSR0000SEHC,SA
6,Owners' equivalent rent of primary residence(17),CUSR0000SEHC01,SA
5,Tenants' and household insurance(4)(5),CUUR0000SEHD,NSA
4,Water and sewer and trash collection services(5),CUSR0000SEHG,SA
5,Water and sewerage maintenance(4),CUSR0000SEHG01,SA
5,Garbage and trash collection(4)(13),CUSR0000SEHG02,SA
4,Household operations(4)(5),CUUR0000SEHP,NSA
5,Domestic services(4)(5),CUUR0000SEHP01,NSA
5,Gardening and lawncare services(4)(5),CUUR0000SEHP02,NSA
5,"Moving, storage, freight expense(5)",CUSR0000SEHP03,SA
5,Repair of household items(4)(5),CUUR0000SEHP04,NSA
4,Medical care services,CUSR0000SAM2,SA
5,Professional services(4),CUSR0000SEMC,SA
6,Physicians' services(4),CUSR0000SEMC01,SA
6,Dental services(4),CUSR0000SEMC02,SA
6,Eyeglasses and eye care(4)(9),CUSR0000SEMC03,SA
6,Services by other medical professionals(4)(9),CUSR0000SEMC04,SA
5,Hospital and related services(4)(14),CUSR0000SEMD,SA
6,Hospital services(4)(18),CUSR0000SEMD01,SA
7,Inpatient hospital services(4)(6)(18),CUSR0000SS5702,SA
7,Outpatient hospital services(4)(6)(9),CUSR0000SS5703,SA
6,Nursing homes and adult day services(4)(18),CUSR0000SEMD02,SA
6,Home health care(4)(8),CUUR0000SEMD03,NSA
5,Health insurance(4)(8),CUUR0000SEME,NSA
4,Transportation services,CUSR0000SAS4,SA
5,Leased cars and trucks(4)(15),CUSR0000SETA03,SA
5,Car and truck rental(5),CUSR0000SETA04,SA
5,Motor vehicle maintenance and repair(4),CUSR0000SETD,SA
6,Motor vehicle body work(4),CUUR0000SETD01,NSA
6,Motor vehicle maintenance and servicing(4),CUUR0000SETD02,NSA
6,Motor vehicle repair(4)(5),CUSR0000SETD03,SA
5,Motor vehicle insurance,CUSR0000SETE,SA
5,Motor vehicle fees(4)(5),CUUR0000SETF,NSA
6,State motor vehicle registration and license fees(4)(5),CUUR0000SETF01,NSA
6,Parking and other fees(4)(5),CUSR0000SETF03,SA
7,Parking fees and tolls(5)(6),CUSR0000SS52051,SA
5,Public transportation,CUSR0000SETG,SA
6,Airline fares,CUSR0000SETG01,SA
6,Other intercity transportation,CUSR0000SETG02,SA
7,Ship fare(4)(5)(6),CUSR0000SS53023,SA
6,Intracity transportation(4),CUUR0000SETG03,NSA
7,Intracity mass transit(4)(6)(11),CUUR0000SS53031,NSA
4,Recreation services(11),CUSR0000SARS,SA
5,Video and audio services(11),CUSR0000SERAS,SA
6,"Cable, satellite, and live streaming television service(13)",CUSR0000SERA02,SA
6,"Purchase, subscription, and rental of video(4)(5)",CUUR0000SERA04,NSA
7,Video discs and other media(4)(5)(6),CUUR0000SS31022,NSA
7,Subscription and rental of video and video games(4)(5)(6),CUUR0000SS62055,NSA
5,Pet services including veterinary(5),CUSR0000SERB02,SA
6,Pet services(5)(6),CUSR0000SS62053,SA
6,Veterinarian services(4)(5)(6),CUSR0000SS62054,SA
5,Photographers and photo processing(4)(5),CUUR0000SERD02,NSA
5,Other recreation services(5),CUSR0000SERF,SA
6,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees(5)",CUSR0000SERF01,SA
6,Admissions(4),CUSR0000SERF02,SA
7,"Admission to movies, theaters, and concerts(4)(5)(6)",CUSR0000SS62031,SA
7,Admission to sporting events(4)(5)(6),CUSR0000SS62032,SA
6,Fees for lessons or instructions(4)(9),CUSR0000SERF03,SA
4,Education and communication services(11),CUSR0000SAES,SA
5,"Tuition, other school fees, and childcare",CUSR0000SEEB,SA
6,College tuition and fees,CUSR0000SEEB01,SA
6,Elementary and high school tuition and fees(14),CUSR0000SEEB02,SA
6,Day care and preschool(12),CUSR0000SEEB03,SA
6,Technical and vocational school tuition and fixed fees(5),CUSR0000SEEB04,SA
5,Postage and delivery services(5),CUSR0000SEEC,SA
6,Postage,CUSR0000SEEC01,SA
6,Delivery services(5),CUSR0000SEEC02,SA
5,Telephone services(4)(5),CUUR0000SEED,NSA
6,Wireless telephone services(4)(5),CUUR0000SEED03,NSA
6,Residential telephone services(4)(11),CUUR0000SEED04,NSA
5,Internet services and electronic information providers(4)(5),CUSR0000SEEE03,SA
4,Other personal services(4)(11),CUUR0000SAGS,NSA
5,Personal care services(4),CUUR0000SEGC,NSA
6,Haircuts and other personal care services(4)(5),CUUR0000SEGC01,NSA
5,Miscellaneous personal services(4),CUSR0000SEGD,SA
6,Legal services(4)(9),CUSR0000SEGD01,SA
6,Funeral expenses(4)(9),CUSR0000SEGD02,SA
6,Laundry and dry cleaning services(4)(5),CUSR0000SEGD03,SA
6,Apparel services other than laundry and dry cleaning(4)(5),CUUR0000SEGD04,NSA
6,Financial services(4)(9),CUSR0000SEGD05,SA
7,Checking account and other bank services(4)(5)(6),CUUR0000SS68021,NSA
7,Tax return preparation and other accounting fees(4)(5)(6),CUSR0000SS68023,SA
0,Special aggregate indexes,,
1,All items less food,CUSR0000SA0L1,SA
1,All items less shelter,CUSR0000SA0L2,SA
1,All items less food and shelter,CUSR0000SA0L12,SA
1,"All items less food, shelter, and energy",CUSR0000SA0L12E,SA
1,"All items less food, shelter, energy, and used cars and trucks",CUSR0000SA0L12E4,SA
1,All items less medical care,CUSR0000SA0L5,SA
1,All items less energy,CUSR0000SA0LE,SA
1,Commodities,CUSR0000SAC,SA
2,"Commodities less food, energy, and used cars and trucks",CUSR0000SACL1E4,SA
2,Commodities less food,CUSR0000SACL1,SA
2,Commodities less food and beverages,CUSR0000SACL11,SA
1,Services,CUSR0000SAS,SA
2,Services less rent of shelter(17),CUSR0000SASL2RS,SA
